http_200,http_3xx,http_404,http_4xx,http_5xx,has_username_in_path,is_homepage,has_auth_pattern,error_keyword_count,positive_keyword_count,meta_error_keyword_count,meta_positive_keyword_count,profile_section_count,error_section_count,img_count,input_count,form_count,title_has_username,meta_has_username,response_time,content_length,redirect_count,fingerprint_match_found,fingerprint_match_not_found,og_type_profile,has_json_ld_person,username_in_canonical,link_count,text_length,heuristic_score,label
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18699999999807915,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,2752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.3279999999940628,59743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.14100000000325963,9445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6090000000040163,34440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9530000000013388,27204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3899999999994179,9183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.2819999999992433,56569.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5470000000059372,88624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7030000000013388,6675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1.0
